01111101,lon,-101.27,192,1374,404698,0
01111100,lon,-100.4,188,1089,342702,0
110011101,lat,42.3833,178,963,302084,0
00101000,lon,-96.2536,202,1598,470986,0
001010101,lat,30.0333,140,775,211430,1
1111101,lat,53.15,284,4114,1376426,0
010011100,lat,45.9183,165,625,224305,0
111000001,lat,44.65,252,999,436438,0
00010001,lon,-122.05,262,1645,622980,1
00010000,lon,-122.0481,210,1617,493600,1
111100101,lat,52.25,170,1086,309450,0
100001011,lat,35.155,169,738,248822,1
010101011,lat,64.7919,147,689,209323,1
010101010,lat,65.5858,155,864,247800,1
0111011,lat,51.25,204,2867,734518,0
0111010,lat,52.07,218,2684,744982,0
1,lat,40.7742,179,218530,39248270,0
110101010,lat,48.23,183,768,274864,1
1001110,lat,39.8167,211,3039,795989,0
10001110,lon,-80.3667,216,1337,447202,0
110101011,lat,47.2375,122,701,175312,1
101110,lon,103.567,105,8650,985630,0
110100110,lat,44.45,206,695,294280,1
110100111,lat,44.35,163,627,221921,1
010101000,lat,59.7333,152,742,224474,1
011001110,lat,45.0983,147,497,181099,1
011001111,lat,45.2667,151,585,199295,1
010001,lon,-121.8333,258,5826,1692178,0
00000110,lon,-117.3833,192,1566,441562,1
00000111,lon,-115.4278,153,1293,310249,1
011000,lon,-106.4136,308,4586,1638058,0
011001,lon,-106.9694,279,4676,1509004,0
110111100,lat,46.18,135,463,161785,0
11000011,lon,-82.7167,233,1653,555969,0
111110111,lat,54.733,194,1014,339066,0
011100100,lat,46.5833,151,613,203523,0
10010110,lon,-85.7667,169,1547,385543,1
10010111,lon,-85.7611,168,1715,411490,1
111111,lon,96.583,223,9277,2232291,0
1001010,lat,39.4158,196,2892,710642,0
1001011,lat,39.55,199,3262,795138,0
1100000,lat,41.4931,221,3219,873459,0
111010011,lat,45.183,197,1144,369908,0
101101110,lat,40.3667,181,744,267524,0
000100111,lat,38.45,138,599,184132,1
11110011,lon,24.417,228,2454,726682,0
001101100,lat,39.4483,152,709,219458,0
11001010,lon,-73.1167,251,1897,660107,0
101000100,lat,-33.8878,224,540,285210,0
101000101,lat,-34.8533,141,567,183607,0
11010001,lon,-88.3786,223,1279,448737,1
11010000,lon,-88.4533,220,1228,431490,1
011000010,lat,43.4,147,513,183451,1
011000011,lat,43.2372,160,568,208410,1
010111110,lat,54.15,160,777,241850,1
110101001,lat,45.7181,159,557,205363,1
110101000,lat,45.7081,132,596,175762,1
110010001,lat,41.0089,166,621,224996,0
001011101,lat,32.9667,153,756,228088,1
001011100,lat,32.8869,152,620,205930,1
100011010,lat,35.0592,175,729,256055,0
00110000,lon,-102.6133,246,1268,492238,1
00110001,lon,-102.1236,238,1397,506956,1
11100001,lon,-66.61,284,1840,730610,0
10100000,lon,77.5,53,1311,108903,0
00010,lat,39.0117,276,11215,3297550,0
00011,lat,39.5264,300,10184,3274930,0
1100101,lat,41.5833,283,3510,1200650,0
100000101,lat,30.6,111,660,155020,1
110011,lon,-73.8167,329,6569,2402101,0
110000110,lat,41.5725,160,796,244890,0
000010101,lat,28.83,125,512,155980,1
000010100,lat,29.33,113,492,138816,1
000001001,lat,34.5958,195,806,300250,1
10001000,lon,-82.3161,208,1477,459786,0
10111010,lon,114.05,169,2666,574654,1
110000000,lat,41.1739,133,781,201693,0
10111,lat,34.683,159,18751,3098209,0
000100001,lat,37.5667,206,816,319206,1
01011,lat,50.3,273,12297,3557101,0
01010,lat,56.95,147,12781,1986847,0
0101111,lat,52.55,226,2840,807550,0
100111101,lat,39.3333,187,793,285531,0
00011101,lon,-111.6722,144,1010,251290,1
00011100,lon,-111.55,194,1114,358466,1
100011101,lat,33.6833,177,692,252424,1
100011100,lat,33.8089,170,645,234480,1
0110110,lat,44.5178,228,2786,802378,0
010010000,lat,42.7083,137,514,171158,0
111001101,lat,47.57,213,1336,440788,0
101011001,lat,-31.7055,149,462,178338,1
101011000,lat,-30.0362,175,483,213005,1
001000010,lat,30.2678,182,439,213488,0
0101100,lat,49.1,238,3420,988430,0
0101101,lat,49.02,267,2911,972877,0
01000100,lon,-122.6894,177,1435,383935,1
01000101,lon,-122.5833,218,1643,518044,1
000110010,lat,38.9594,125,626,170230,1
000110011,lat,39.05,129,687,183523,1
110110000,lat,44.22,174,750,258250,0
100000111,lat,32.0603,177,717,256849,0
001110111,lat,37.8958,173,776,261268,0
111111010,lat,65.967,176,1206,341466,1
111111011,lat,67.433,177,1289,358093,1
011001011,lat,45.2436,164,639,225246,1
011001010,lat,45.3333,98,648,135774,1
100100000,lat,36.4136,156,698,223498,0
010110100,lat,48.4,161,741,237561,0
011010001,lat,41.9644,131,756,195396,0
01011001,lon,-120.0,224,1973,606202,1
110100011,lat,44.6392,201,717,291577,1
110100010,lat,44.5114,135,562,175150,1
000111011,lat,40.8111,119,468,143292,1
000111010,lat,40.9833,127,542,162274,1
0001100,lat,38.3897,227,2480,729400,0
01101001,lon,-97.2567,182,1392,386934,0
101110110,lat,32.732,224,1277,450298,0
000100000,lat,37.7333,158,801,242628,1
1011111,lat,36.6,234,5178,1383202,0
0101,lon,-122.57,221,25078,5704298,0
0100,lon,-119.15,341,21031,7421231,0
010111100,lat,51.183,173,642,238086,1
010111101,lat,51.76,152,758,226906,1
11000110,lon,-82.85,221,1671,531351,1
11000111,lon,-80.78,228,1546,519658,1
111110010,lat,55.7,187,1194,360518,0
10110010,lon,-76.2108,117,1464,257428,0
10101011,lon,149.7,191,1095,349305,1
000111111,lat,40.7333,164,779,248206,0
001100000,lat,36.3333,203,610,272750,0
101100101,lat,18.4981,74,787,112988,1
101100100,lat,35.9167,184,677,259618,1
01001110,lon,-113.8933,214,1319,439216,0
01001111,lon,-114.0983,189,1193,364177,0
001010001,lat,29.2353,162,871,260092,1
001010000,lat,28.6167,174,727,254248,1
11110110,lon,30.517,235,2540,769180,1
11110111,lon,27.8294,219,2525,713575,1
100001,lon,-87.15,284,5817,1860078,0
11101101,lon,13.9314,245,2583,812415,0
101011101,lat,-30.3442,161,615,217275,1
111010111,lat,44.567,197,1155,372075,1
111010110,lat,44.4,217,1180,415200,1
1001,lon,-84.2342,340,23586,8268170,0
1011001,lat,37.55,159,3115,612085,0
011000110,lat,43.35,191,595,253805,0
00100111,lon,-98.65,200,1268,400330,0
001111010,lat,40.85,141,795,215755,1
001111011,lat,40.7672,127,674,179038,1
000101010,lat,40.7264,156,693,222718,1
100101000,lat,38.7667,144,707,207658,1
100101001,lat,38.7003,142,761,212452,1
000101011,lat,40.54,166,770,249730,1
001100,lon,-99.9964,304,5127,1781258,0
001101,lon,-99.9,290,5661,1854120,0
001001010,lat,34.5119,203,662,283306,1
001001011,lat,34.1981,179,856,284624,1
0100000,lat,43.3708,214,2908,779262,0
0100001,lat,43.5611,221,2323,675443,0
01010111,lon,-142.1667,207,1337,428599,1
11010,lat,45.0283,308,11114,3648682,0
11011,lat,45.42,331,10708,3786708,0
000011000,lat,34.3222,117,598,156106,0
00110,lat,38.5872,327,10788,3767116,0
01011111,lon,-114.1,174,1440,378310,1
01011110,lon,-114.1,207,1400,441640,1
010000100,lat,42.4333,114,527,144028,0
01110100,lon,-109.517,168,1270,336730,1
01110101,lon,-110.33,191,1414,410234,1
010111111,lat,53.57,126,663,176248,1
010111,lon,-116.45,250,5966,1674730,1
010110,lon,-117.817,295,6331,2083725,1
110110,lon,-73.4167,330,5932,2199190,0
110111,lon,-72.77,284,4776,1564434,0
111101100,lat,59.517,202,1265,403720,0
1110101,lat,43.233,265,4588,1410000,1
1110100,lat,44.683,116,4762,637802,1
10010,lat,38.3769,283,11885,3570775,0
10011001,lon,-82.5,211,1275,423785,0
11,lon,-69.9,279,120588,33848452,0
010100100,lat,48.62,234,978,400402,1
011110000,lat,46.3931,145,654,201410,0
100001010,lat,35.0264,154,746,228034,1
01001011,lon,-114.0742,180,1105,331030,0
11011101,lon,-75.2,210,1294,425770,1
11011100,lon,-74.2,195,1251,387025,1
0010111,lat,33.8228,238,2813,843964,0
010001011,lat,47.3767,164,893,266902,1
01010011,lon,-123.17,189,1684,456976,1
01010010,lon,-123.37,299,1773,749127,1
01011010,lon,-114.9167,220,1402,469770,0
01011011,lon,-115.07,217,1509,486593,0
100110101,lat,36.2119,177,759,264283,1
100110100,lat,36.4819,183,749,271387,1
000110110,lat,38.9028,110,696,157590,0
011101010,lat,53.52,153,699,219367,1
011101011,lat,53.3,149,715,216035,1
0000000,lat,21.1539,78,2660,265150,0
1010011,lat,-12.4227,175,2680,597480,0
00111111,lon,-92.5747,151,1483,334893,0
111011001,lat,47.017,248,1190,476890,0
10101111,lon,152.555,119,1206,231114,1
10101110,lon,151.45,216,1141,404866,1
01100101,lon,-110.2167,157,1287,317399,1
01100100,lon,-109.55,206,1119,381624,1
011011101,lat,43.9042,162,812,250534,0
101010110,lat,-35.1667,132,537,167974,1
101010111,lat,-33.95,162,558,209386,1
001110010,lat,37.8253,140,594,186090,0
1000001,lat,31.5333,229,2783,805207,0
00001001,lon,-111.7117,166,1291,336216,0
1001000,lat,37.0956,222,2899,806368,0
000000000,lat,20.7583,46,639,63704,0
101001101,lat,-16.2636,130,315,136580,1
101001100,lat,-20.3139,219,521,274699,1
10100110,lon,128.1,254,836,398494,0
11111001,lon,67.3,245,2223,724215,0
110001010,lat,43.1,132,696,188962,1
10000111,lon,-85.8008,215,1422,463410,0
0011010,lat,40.2233,261,2632,878212,0
0011011,lat,40.1,230,3029,865300,0
01110111,lon,-105.15,162,1554,370738,1
00101011,lon,-92.4617,196,1345,407430,1
00101010,lon,-92.065,161,1506,360726,1
010011110,lat,47.4667,136,627,185282,1
010011111,lat,47.1828,147,566,191242,1
00100010,lon,-98.0678,202,1366,424122,0
101101010,lat,40.0417,176,633,240618,1
101101011,lat,40.1139,174,934,290266,1
101101,lon,-76.0667,283,6533,2056159,0
000001,lon,-118.4547,252,5985,1692910,1
0111000,lat,47.2972,248,2561,816898,0
0111001,lat,47.4819,210,2465,671680,0
1101100,lat,44.53,289,2793,1018877,0
11100010,lon,-2.6544,293,2631,985503,0
1111110,lat,62.433,218,4786,1203218,0
10110001,lon,-77.8167,220,1366,461850,0
00000100,lon,-119.3539,241,1601,562501,1
110111001,lat,45.63,139,637,190743,0
100011111,lat,34.9603,189,847,298783,0
01111000,lon,-100.2875,202,1187,387964,1
01111001,lon,-100.0,179,1073,323467,1
010100101,lat,48.6,241,795,368255,1
01001,lat,44.8872,327,9974,3500938,0
001001110,lat,34.65,161,624,218724,0
111000101,lat,41.9858,264,1316,540874,1
111000100,lat,42.4306,221,1315,452675,1
00010100,lon,-121.6183,218,1503,487524,1
00010101,lon,-122.3833,194,1463,426172,1
111100000,lat,51.88,140,1159,265190,0
011100110,lat,48.3478,103,548,132364,1
011100111,lat,48.2833,145,732,212720,1
110001000,lat,42.4,129,694,184426,1
10111110,lon,136.15,187,2596,622692,0
10010101,lon,-88.7075,158,1424,341062,1
10010100,lon,-89.0922,178,1468,391974,1
000101100,lat,39.3256,157,603,210011,1
000101101,lat,39.3833,184,661,256674,1
001101110,lat,40.7258,170,715,246380,1
001101111,lat,40.8586,150,764,224830,1
11001001,lon,-76.8464,247,1585,572535,0
010010,lon,-115.6186,274,4679,1482796,0
010011,lon,-115.9667,292,5295,1760030,0
0001011,lat,39.9642,275,2565,906855,1
100101100,lat,38.8894,134,758,200122,0
0001010,lat,39.9333,230,2966,850810,1
0100100,lat,43.8,234,2373,726832,0
001011111,lat,34.4764,168,789,255922,0
1010,lon,139.5356,143,20100,2979420,0
00110011,lon,-98.4244,192,1362,402394,0
101111001,lat,37.4,215,1253,427075,0
10100011,lon,128.1092,270,967,458920,1
10100010,lon,137.5328,257,1107,472839,1
100001110,lat,35.1803,155,678,218970,0
10101010,lon,147.5033,176,1121,326506,1
0010010,lat,33.5281,288,2793,1015354,0
001111110,lat,40.9833,120,646,165850,0
01010110,lon,-135.2319,160,1471,352890,1
110000101,lat,41.0375,170,844,268310,0
101000001,lat,-33.5719,58,465,70040,1
101000000,lat,-36.567,34,846,54314,1
00111010,lon,-92.4,222,1252,440734,0
000010111,lat,32.9308,199,628,270972,0
1010111,lat,-28.3395,159,2347,489973,0
1010110,lat,-23.5267,171,1954,459694,0
10001011,lon,-81.3333,227,1545,517155,1
10001010,lon,-80.6256,191,1376,402976,1
00,lon,-104.6822,298,86835,26095100,1
01,lon,-112.12,331,87815,29309125,1
110010101,lat,41.35,218,931,362828,1
110010100,lat,41.1247,189,966,321274,1
101010011,lat,-36.3613,119,460,142340,0
101010010,lat,-36.3347,143,570,186630,0
011111110,lat,50.617,152,683,215506,1
011111111,lat,50.63,135,864,215920,1
11100100,lon,-66.42,263,1633,622199,1
11100101,lon,-67.1,278,1252,551726,1
0110101,lat,42.4733,185,3082,705950,0
10000010,lon,-85.6833,168,1372,353866,0
001000001,lat,25.733,152,464,182218,0
010000010,lat,44.1667,106,685,150720,1
010010010,lat,44.4,134,535,170240,1
010010011,lat,44.1011,154,659,214636,1
000001010,lat,36.6594,193,739,284247,1
010011011,lat,46.95,168,702,241306,1
0011110,lat,40.2486,197,2902,716234,0
00101110,lon,-92.3989,190,1376,400870,0
01000111,lon,-120.9833,165,1385,349705,1
01000110,lon,-120.6008,195,1363,408865,1
110110010,lat,45.0,192,763,287386,1
110110011,lat,45.05,164,606,219834,1
100100010,lat,37.6167,155,720,225480,1
100100011,lat,37.7408,147,811,227257,1
110100000,lat,43.79,131,575,171685,1
110100001,lat,43.8933,194,653,269032,1
011001000,lat,44.4167,136,465,163250,1
011001001,lat,44.4908,159,654,220786,1
010110110,lat,49.48,180,869,288550,1
010110111,lat,49.67,149,640,204860,1
100111000,lat,39.3542,147,700,210940,0
00011000,lon,-109.9878,207,1167,393409,1
00011001,lon,-111.25,171,1313,350083,1
0001110,lat,40.5467,203,2124,580092,0
0001111,lat,40.3,222,2799,784168,0
000111000,lat,40.2167,161,577,211157,1
000111001,lat,40.1667,153,537,194581,1
101110100,lat,25.333,154,1334,318586,1
100010011,lat,31.2514,176,661,245546,0
111001000,lat,47.07,177,647,244459,0
001100010,lat,38.0392,206,794,314674,1
001100011,lat,37.6333,154,603,206012,1
010101101,lat,58.83,128,737,188506,1
11000100,lon,-88.2861,204,1452,445858,1
111110001,lat,52.867,204,1082,370378,0
011110,lon,-97.1919,293,4886,1646218,0
011111,lon,-98.7,261,5275,1568035,0
110001011,lat,43.1,188,885,304350,1
000001110,lat,35.7706,130,659,181300,1
000001111,lat,36.0469,105,634,143950,1
0101001,lat,49.17,231,3457,967927,0
01001100,lon,-117.9239,205,1403,437995,0
1001101,lat,37.3167,264,2876,952714,0
11010100,lon,-88.8833,189,1153,356617,1
001010011,lat,31.1333,179,859,285161,0
11110101,lon,6.5392,116,2467,371582,1
11110100,lon,8.1792,166,2755,579240,1
010001000,lat,45.9411,164,736,241154,1
101011011,lat,-19.2483,146,499,180164,0
111001,lon,-61.13,301,7396,2446656,0
111010100,lat,41.9,171,1009,298099,1
111010101,lat,42.317,225,1244,444880,1
011000101,lat,42.0572,158,455,187960,0
0000,lon,-112.8003,208,20620,4441530,1
0001,lon,-112.6508,306,21399,6772204,1
001101011,lat,40.8433,162,693,231256,1
001101010,lat,41.0103,169,668,236992,1
110101111,lat,48.05,179,788,272452,1
110101110,lat,48.47,187,852,296564,1
01101100,lon,-97.1853,192,1350,400090,1
01101101,lon,-97.0625,195,1436,423100,1
001111,lon,-94.0269,245,6002,1650070,0
10010001,lon,-88.9883,187,1531,423537,1
010111001,lat,50.93,176,838,276698,1
010111000,lat,50.92,141,818,218998,1
011100010,lat,48.2833,149,629,203221,1
110111110,lat,48.3,183,687,260041,1
00110110,lon,-98.315,189,1550,431650,1
000011011,lat,35.6,189,473,228097,1
011010101,lat,42.0,135,816,209440,1
011010100,lat,41.9922,126,770,189730,1
0100010,lat,46.6833,236,3078,899418,0
110011000,lat,42.5333,174,683,246592,0
1100,lon,-79.27,384,25847,10206298,1
1101,lon,-78.65,357,21822,8051794,1
10111000,lon,-64.9,177,1453,387121,0
010000110,lat,44.3158,132,626,179722,1
00101,lat,32.1667,280,11818,3514170,0
11011000,lon,-76.1167,249,1424,537076,1
11011001,lon,-75.05,231,1369,485599,1
10001,lat,32.7797,242,11791,3030812,0
1110111,lat,48.95,248,4290,1245690,0
111101110,lat,69.2469,165,1378,348550,0
111101111,lat,68.0,190,1147,357360,0
1011010,lat,39.65,244,3152,947938,0
110101,lon,-85.5089,281,5831,1844371,1
110100,lon,-84.3333,325,5283,1954955,1
01100,lat,43.8564,329,9262,3288098,0
010001001,lat,45.6228,133,699,190787,1
000010010,lat,33.3833,163,657,226811,0
010010110,lat,43.7,121,520,151980,0
10111101,lon,4.2156,196,2513,636358,0
11101000,lon,26.0831,71,2198,208618,0
100100,lon,-87.4667,267,5731,1725817,0
100101,lon,-87.0917,240,6154,1652890,0
011110010,lat,47.5214,123,508,153004,1
011110011,lat,47.4494,144,565,187210,1
100001000,lat,33.5258,158,614,213082,0
01011101,lon,-119.25,182,1470,401130,1
011111011,lat,50.92,166,702,238442,1
011111010,lat,51.267,144,672,202618,1
010011010,lat,47.3,182,678,256986,1
100110111,lat,37.8814,192,796,293722,0
111111110,lat,67.55,220,1083,399590,0
010001010,lat,47.2614,178,750,264170,1
01011000,lon,-120.6475,179,1447,390413,1
000110101,lat,37.65,124,633,169742,0
0000010,lat,36.0678,250,3126,964730,1
0000011,lat,34.8928,204,2859,732886,1
100000001,lat,30.3772,119,641,163879,0
01000010,lon,-121.062,165,1125,306805,0
01000011,lon,-121.2103,177,1198,341986,0
010100001,lat,49.58,200,886,323930,1
010100000,lat,50.917,257,1024,451508,1
111111101,lat,59.917,149,1059,267291,0
10011100,lon,-82.8872,191,1396,406796,1
10011101,lon,-82.9433,174,1643,413632,1
110110110,lat,44.9381,165,664,230740,0
011101111,lat,52.65,114,741,168424,1
011101110,lat,52.15,166,813,256868,1
100000010,lat,31.8583,159,727,232393,0
100100110,lat,37.7822,150,740,221230,0
001110001,lat,36.3219,138,575,180820,0
000100100,lat,37.39,123,656,171208,0
000111110,lat,40.5333,132,618,178666,0
01110110,lon,-104.67,179,1313,366427,1
000000010,lat,21.6883,175,707,252205,1
000000011,lat,33.7611,109,733,160197,1
010110011,lat,49.85,168,1003,291874,0
010110010,lat,49.35,182,970,310130,0
101001111,lat,7.0333,69,954,116926,0
100010111,lat,29.1828,172,680,243250,1
100010110,lat,30.2875,197,865,314945,1
10111011,lon,130.75,241,2551,791451,1
01110001,lon,-110.3022,198,1252,393166,1
001100110,lat,37.6025,158,642,217506,0
00100001,lon,-101.2519,263,1136,491488,0
000001011,lat,36.4108,132,786,200842,1
101100010,lat,38.0111,174,601,232324,0
000011,lon,-108.3636,245,4287,1229895,0
1000101,lat,28.1011,231,2921,844111,1
1000100,lat,30.0678,236,2852,846082,1
111011101,lat,47.6,231,1027,406597,1
111011100,lat,47.2,196,1137,366662,1
101111111,lat,37.9167,246,1287,496912,0
